Date, Thread, Level, Logger, Message
2024-05-30T13:23:45.202, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/business/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:45.289, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/biz/directory/ Status code: 200"
2024-05-30T13:23:45.473, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/education/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:45.715, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D Status code: 200"
2024-05-30T13:23:45.816, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/biz/directory/ Status code: 200"
2024-05-30T13:23:46.052, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/crisis-relief/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:46.098, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/groups/discover/ Status code: 200"
2024-05-30T13:23:46.323, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D Status code: 200"
2024-05-30T13:23:46.386, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/community-and-social-action/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:46.816, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/groups/discover/ Status code: 200"
2024-05-30T13:23:46.919, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/health-and-medical/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:47.460, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto Status code: 200"
2024-05-30T13:23:48.059, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto Status code: 200"
2024-05-30T13:23:49.266, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/careers/?ref=pf Status code: 200"
2024-05-30T13:23:49.636, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/donate/731875028441322/?fundraiser_source=fundraiser_hub_about_seo_card Status code: 200"
2024-05-30T13:23:49.691, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/donate/328214899901969/?fundraiser_source=fundraiser_hub_about_seo_card Status code: 200"
2024-05-30T13:23:49.891, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/policies/cookies/ Status code: 200"
2024-05-30T13:23:50.048, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.facebook.com/dennis.desmarais Status code: 200"
